	12A01	12A06	12A08	12A09	12A10	12A11	12B02	12B04	12B05	12B08	12B09	12B10	12B11	12C02	12C05	12C09	12C11	12D05	12D07	12D08	12D09	12D11	12D12	12E02	12E04	12E05	12E06	12E10	12E11	12E12	12F02	12F03	12F04	12F05	12F06	12F08	12F10	12F11	12F12	12G01	12G02	12G03	12G04	12G05	12G06	12G07	12G08	12G09	12G10	12G11	12G12	12H01	12H02	12H04	12H05	12H08	12H09	12H10	12H11	13A01	13A02	13A03	13A04	13A08	13A10	13A11	13B01	13B03	13B07	13B10	13B11	13B12	13C01	13C04	13C05	13C10	13C12	13D01	13D03	13D07	13D09	13D11	13D12	13E02	13E04	13E05	13E06	13E07	13E09	13E10	13F02	13F04	13F08	13F11	13G02	13G04	13G07	13G08	13G10	13G12	13H02	13H04	13H05	13H06	13H11	13H12	14A03	14A04	14A06	14A07	14A10	14A11	14A12	14B06	14B08	14B10	14B11	14B12	14C01	14C02	14C03	14C04	14C05	14C06	14C07	14C08	14C09	14C10	14C11	14D03	14D07	14D09	14D12	14E01	14E02	14E03	14E04	14E05	14E06	14E07	14F04	14F05	14F06	14F08	14F09	14F10	14F11	14G02	14G03	14G04	14G06	14G09	14G10	14G12	14H02	14H05	14H06	14H08	14H09	14H11	1A03	1A05	1A09	1A11	1A12	1B01	1B02	1B03	1B07	1B09	1B10	1B11	1C01	1C02	1C03	1C04	1C05	1C07	1C09	1D01	1D02	1D07	1D08	1D09	1D10	1D12	1E01	1E07	7G11
12A01	0	38	21	23	26	18	27	21	30	32	126	39	22	20	20	21	21	21	19	24	19	20	22	20	20	22	27	19	20	20	22	25	52	25	23	33	23	26	23	76	50	18	21	21	18	19	17	18	19	25	120	18	18	19	17	57	21	20	22	20	21	21	20	19	22	20	20	19	22	20	95	28	21	18	23	21	20	20	21	22	25	20	23	22	20	24	33	20	20	23	22	20	20	21	25	23	21	21	18	22	19	22	20	20	20	22	23	21	22	24	21	36	20	22	21	21	20	22	18	18	22	70	19	19	57	22	78	22	29	20	62	19	22	20	23	20	23	21	23	22	24	21	20	20	22	19	20	23	20	25	26	20	19	23	22	23	24	21	20	22	23	20	18	20	19	21	20	20	22	22	24	21	22	22	23	22	20	26	22	20	20	20	21	20	21	18	18	18	23
12A06	38	0	23	17	20	20	31	25	18	24	98	25	22	22	22	17	23	17	25	18	23	22	22	26	20	26	27	23	26	22	24	33	46	23	27	35	31	36	29	80	54	22	29	29	26	25	27	26	25	23	102	24	24	23	27	47	25	20	20	28	21	29	22	29	34	24	26	21	30	28	81	30	23	24	23	23	22	20	17	24	29	22	27	26	26	26	39	18	18	23	26	20	22	21	27	29	25	23	20	22	21	24	22	22	24	22	25	25	22	26	21	30	20	24	25	23	22	28	20	20	22	64	21	21	53	20	70	20	35	24	52	23	30	22	21	22	25	21	25	22	26	23	22	22	22	23	22	19	24	25	30	22	25	17	24	23	28	21	22	24	25	20	20	24	23	23	24	24	28	24	28	25	22	22	27	16	20	30	22	22	22	26	23	26	23	22	24	22	23
12A08	21	23	0	6	13	5	16	12	15	21	117	26	7	7	7	6	10	6	10	9	8	9	7	9	5	13	18	8	11	9	9	18	41	10	14	26	16	17	14	71	49	7	14	14	11	12	12	11	10	10	111	9	9	10	12	42	10	5	7	13	6	14	7	14	17	11	13	6	15	13	86	15	8	9	8	8	7	5	6	9	14	7	12	11	11	11	24	5	5	8	11	5	7	6	14	12	10	8	5	7	6	9	7	7	9	7	10	10	9	11	6	23	5	9	8	8	7	9	5	5	9	59	6	6	38	7	61	7	20	9	53	6	13	7	8	5	12	8	10	9	11	8	7	7	7	6	7	10	9	10	15	7	10	10	9	8	11	6	7	9	10	5	5	9	8	8	9	9	9	9	13	8	7	5	12	7	5	15	9	7	7	11	8	11	8	7	9	7	8
12A09	23	17	6	0	13	5	16	12	13	17	113	24	7	7	7	6	10	6	10	7	8	7	7	11	5	13	16	8	11	9	9	18	39	10	12	24	16	21	14	75	47	7	14	14	11	10	12	11	10	8	107	9	9	8	12	38	10	5	5	13	6	14	7	14	19	9	11	6	15	13	84	15	8	9	8	8	7	5	4	9	14	7	12	11	11	11	24	3	5	8	11	5	7	6	12	14	10	8	5	7	6	9	7	7	9	7	10	10	7	11	6	19	5	9	10	8	7	13	5	5	7	59	6	6	40	5	63	5	20	9	53	8	15	7	8	7	10	6	10	9	11	8	7	7	7	8	7	10	9	10	15	7	10	8	9	8	13	6	7	9	10	5	5	9	8	8	9	9	13	9	13	10	7	5	12	7	5	15	9	5	7	11	8	11	8	7	9	7	8
12A10	26	20	13	13	0	8	19	17	16	26	110	21	10	10	12	7	15	7	13	8	13	14	12	14	10	16	21	13	14	12	12	21	44	13	17	29	19	24	19	76	50	10	17	17	14	17	15	14	13	17	116	12	14	13	15	49	15	10	12	16	11	17	10	17	22	14	16	11	18	16	83	22	13	12	13	13	10	10	11	14	17	12	15	14	12	14	27	10	10	13	14	8	10	11	15	17	13	11	8	12	9	10	10	10	12	12	13	13	12	16	11	28	10	12	13	11	10	16	8	8	14	60	9	9	47	12	64	12	23	12	54	11	18	10	13	12	15	11	13	14	16	11	10	10	12	11	10	13	12	15	18	10	13	13	12	13	16	11	10	12	13	10	8	12	11	13	12	12	16	14	16	13	12	12	15	12	10	18	12	12	10	14	13	14	13	10	12	10	13
12A11	18	20	5	5	8	0	11	9	12	18	118	23	4	2	4	3	7	3	5	6	5	6	4	6	2	8	13	5	6	4	4	13	38	7	9	21	11	16	11	70	44	2	9	9	6	9	7	6	5	9	110	4	6	5	7	41	7	2	4	8	3	9	2	9	14	6	8	3	10	8	83	14	5	4	5	5	2	2	3	6	9	4	7	6	6	8	19	2	2	5	6	2	2	3	9	9	5	3	0	4	1	4	2	2	4	4	5	5	4	8	3	20	2	4	5	3	2	8	0	0	6	56	1	1	39	4	62	4	15	4	50	3	10	2	5	4	7	3	5	6	8	3	2	2	4	3	2	5	4	7	10	2	5	7	4	5	8	3	2	4	5	2	0	4	3	5	4	4	8	6	8	5	4	4	7	4	2	10	4	4	2	6	5	6	5	2	4	2	5
12B02	27	31	16	16	19	11	0	18	23	29	123	32	15	9	15	14	16	14	16	15	14	15	13	15	13	19	24	14	15	13	9	18	43	18	14	26	16	21	16	77	53	13	14	16	13	16	14	13	12	16	121	11	15	14	14	52	14	13	15	13	14	14	11	14	19	11	13	12	15	17	88	23	14	13	12	14	11	11	14	15	12	13	14	11	11	15	24	13	13	16	11	13	11	12	18	18	16	12	11	13	10	11	9	13	9	9	10	10	13	17	14	29	13	13	14	12	11	17	11	11	17	67	12	12	50	15	73	15	24	15	61	14	19	13	16	15	16	14	10	15	19	12	11	13	13	12	11	14	13	14	15	11	14	16	13	14	17	14	13	13	14	11	11	13	14	16	13	13	17	17	17	16	15	15	16	15	13	19	13	15	11	15	16	15	16	13	13	13	16
12B04	21	25	12	12	17	9	18	0	19	23	121	26	11	11	9	10	12	10	12	13	10	11	11	13	9	15	18	10	13	11	13	20	43	14	16	28	18	23	16	79	49	11	16	14	13	14	14	13	12	16	115	11	11	12	12	48	12	9	11	13	10	14	11	16	19	15	15	10	17	15	90	21	12	13	12	12	11	9	10	13	16	11	14	13	15	13	26	9	9	12	15	9	11	10	18	18	14	12	9	11	10	13	11	11	13	11	14	14	13	15	10	27	9	13	14	12	11	15	9	9	13	59	10	10	46	11	67	11	24	13	53	12	17	11	12	11	16	12	14	11	13	12	11	11	11	12	11	12	13	12	17	11	14	12	13	12	15	10	11	13	14	9	9	13	12	12	13	13	15	13	15	12	11	11	16	9	9	19	13	11	11	15	12	15	12	11	13	11	12
12B05	30	18	15	13	16	12	23	19	0	22	116	23	14	14	14	9	15	9	17	12	15	16	14	18	12	16	25	15	18	16	16	25	38	15	21	29	23	28	21	78	52	14	21	21	18	19	19	18	17	17	108	16	16	17	19	47	17	12	14	20	13	21	14	21	26	18	20	13	22	20	89	24	15	16	15	15	14	12	11	16	21	14	19	18	18	18	31	12	10	15	18	12	14	13	21	21	17	15	12	14	13	16	14	14	16	14	17	17	16	18	13	24	12	16	17	15	14	20	12	12	16	62	13	13	47	14	68	14	27	16	46	15	22	14	11	14	17	15	17	16	18	15	14	14	14	15	14	15	16	17	22	14	17	13	16	15	20	13	14	16	17	12	12	16	15	15	16	16	20	16	20	17	14	14	19	10	12	22	16	16	14	18	15	18	15	14	16	14	15
12B08	32	24	21	17	26	18	29	23	22	0	104	31	20	20	20	19	21	19	23	22	21	22	20	24	16	26	27	21	24	22	22	29	46	21	27	35	29	34	27	72	48	20	27	27	24	25	25	24	23	25	98	22	22	21	25	47	23	18	20	26	19	27	20	27	32	24	26	19	28	26	79	32	21	22	19	21	20	18	15	22	27	20	25	24	24	24	37	18	16	21	24	18	20	19	27	27	23	21	18	20	19	22	20	20	22	20	23	23	22	24	19	26	18	22	23	21	20	26	18	18	22	54	19	19	45	20	56	20	33	22	50	21	28	20	19	20	25	21	23	22	16	21	20	20	20	21	20	21	22	23	28	20	23	19	22	21	26	19	20	22	23	18	18	22	21	21	22	22	26	22	26	23	20	18	25	18	18	28	20	20	20	24	21	24	21	20	22	20	21
